"Time","value","name"
0,0.617920200920828,"Cond1"
0.147,0.69061397494604,"Cond1"
0.294,0.744816390135033,"Cond1"
0.441,0.785231155384408,"Cond1"
0.588,0.815365481400451,"Cond1"
0.735,0.837834437952295,"Cond1"
0.882,0.854587890750936,"Cond1"
1.029,0.867079711634059,"Cond1"
1.176,0.87639394618926,"Cond1"
1.323,0.883338887696266,"Cond1"
1.47,0.888517221165313,"Cond1"
1.618,0.892400901448188,"Cond1"
1.764,0.895257266221178,"Cond1"
1.912,0.897416433619497,"Cond1"
2.058,0.899004455610581,"Cond1"
2.206,0.900204864376082,"Cond1"
2.353,0.90109294285298,"Cond1"
2.5,0.901755117832484,"Cond1"
2.646,0.902245960378486,"Cond1"
2.794,0.9026169953503,"Cond1"
2.94,0.902889883730868,"Cond1"
3.087,0.903094964839184,"Cond1"
3.235,0.903248772905334,"Cond1"
3.382,0.903362562171996,"Cond1"
3.529,0.903447406481683,"Cond1"
3.676,0.903510668660071,"Cond1"
3.823,0.903557838626202,"Cond1"
3.97,0.903593009810021,"Cond1"
4.117,0.903619234381981,"Cond1"
4.265,0.903638902457369,"Cond1"
4.412,0.903653453162875,"Cond1"
4.56,0.903664365995819,"Cond1"
4.707,0.903672439455742,"Cond1"
4.854,0.903678459242617,"Cond1"
5.001,0.903682947756137,"Cond1"
5.148,0.903686294511435,"Cond1"
5.295,0.903688789941376,"Cond1"
5.442,0.903690650600443,"Cond1"
5.589,0.90369203795743,"Cond1"
5.736,0.903693072407772,"Cond1"
5.883,0.903693843721515,"Cond1"
6.03,0.903694418833597,"Cond1"
6.177,0.903694847652492,"Cond1"
6.324,0.903695167391288,"Cond1"
6.471,0.903695405797055,"Cond1"
6.618,0.903695583558748,"Cond1"
6.766,0.903695716877622,"Cond1"
6.913,0.903695815508709,"Cond1"
7.06,0.903695889050677,"Cond1"
7.207,0.903695943885528,"Cond1"
7.354,0.903695984771854,"Cond1"
7.501,0.903696015257788,"Cond1"
7.648,0.903696037988913,"Cond1"
7.795,0.903696054937846,"Cond1"
7.942,0.903696067575422,"Cond1"
8.089,0.903696076998335,"Cond1"
